 Name:, Ksenia, Burova, CS420 ,,,,,,,,,,,,,,,,
 Number of experiments:,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 Experiment #,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 1,,,,,,,,,,,,,,,,,,,
J1=1.0,J2=0.0,H=-1,R1=1,R2=15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
5,0.100096296,0.959832935,0.351291676,,,,,,,,,,,,,,,,
6,0.163097531,1.028910534,0.282214078,,,,,,,,,,,,,,,,
7,0.242868078,0.86856731,0.442557302,,,,,,,,,,,,,,,,
8,0.10019537,1.011629464,0.299495148,,,,,,,,,,,,,,,,
9,0.077155556,0.966577487,0.344547125,,,,,,,,,,,,,,,,
10,0.147393827,1.027076093,0.284048518,,,,,,,,,,,,,,,,
11,0.086540516,0.953337483,0.357787129,,,,,,,,,,,,,,,,
12,0.078909259,0.989198422,0.32192619,,,,,,,,,,,,,,,,
13,0.077324976,0.961204592,0.349920019,,,,,,,,,,,,,,,,
14,0.073362081,1.010419553,0.300705059,,,,,,,,,,,,,,,,
Entropy(H):,0.655562306,Lambda:,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 4,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=1,R2=4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.556965432,0.553895768,0.832099794,,,,,,,,,,,,,,,,
2,0.531785185,0.935506548,0.450489015,,,,,,,,,,,,,,,,
3,0.687520988,0.466770829,0.919224733,,,,,,,,,,,,,,,,
4,0.617617901,0.957771533,0.42822403,,,,,,,,,,,,,,,,
5,0.503214815,0.619859882,0.766135681,,,,,,,,,,,,,,,,
6,0.546645679,0.964467748,0.421527814,,,,,,,,,,,,,,,,
7,0.578155908,0.57351856,0.812477003,,,,,,,,,,,,,,,,
8,0.464840741,0.96470692,0.421288642,,,,,,,,,,,,,,,,
9,0.47222716,0.652724562,0.733271,,,,,,,,,,,,,,,,
10,0.499145679,0.979195774,0.406799789,,,,,,,,,,,,,,,,
11,0.448733109,0.663560687,0.722434876,,,,,,,,,,,,,,,,
12,0.446646296,0.963798469,0.422197093,,,,,,,,,,,,,,,,
13,0.442787464,0.675743028,0.710252535,,,,,,,,,,,,,,,,
14,0.429483598,0.97605426,0.409941302,,,,,,,,,,,,,,,,
Entropy(H):,0.692997781,Lambda:,8.75,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 5,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=-5,R1=1,R2=6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.092122222,0.672310599,0.15630552,,,,,,,,,,,,,,,,
2,0.014622222,0.66111334,0.167502779,,,,,,,,,,,,,,,,
3,0.068062963,0.620013323,0.208602796,,,,,,,,,,,,,,,,
4,0.066627778,0.620744739,0.20787138,,,,,,,,,,,,,,,,
5,0.068211111,0.620056013,0.208560106,,,,,,,,,,,,,,,,
6,0.049066667,0.668322316,0.160293803,,,,,,,,,,,,,,,,
7,0.053947619,0.669548312,0.159067807,,,,,,,,,,,,,,,,
8,0.054622222,0.669116415,0.159499704,,,,,,,,,,,,,,,,
9,0.013255556,0.657469961,0.171146158,,,,,,,,,,,,,,,,
10,0.029211111,0.644206583,0.184409536,,,,,,,,,,,,,,,,
11,0.049594949,0.632143828,0.196472291,,,,,,,,,,,,,,,,
12,0.026766667,0.643433522,0.185182597,,,,,,,,,,,,,,,,
13,0.015512156,0.656787056,0.171829063,,,,,,,,,,,,,,,,
14,0.027161905,0.664122269,0.16449385,,,,,,,,,,,,,,,,
Entropy(H):,0.414308059,Lambda:,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 6,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=-3,R1=1,R2=6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.340537037,0.993736749,0.257810231,,,,,,,,,,,,,,,,
2,0.067481481,0.97101283,0.28053415,,,,,,,,,,,,,,,,
3,0.167981481,0.87256711,0.37897987,,,,,,,,,,,,,,,,
4,0.230574074,0.831815819,0.419731161,,,,,,,,,,,,,,,,
5,0.219018519,0.839742871,0.411804109,,,,,,,,,,,,,,,,
6,0.02387037,0.958480415,0.293066565,,,,,,,,,,,,,,,,
7,0.237759259,0.996293474,0.255253506,,,,,,,,,,,,,,,,
8,0.277550926,0.996747902,0.254799079,,,,,,,,,,,,,,,,
9,0.073932099,0.972618153,0.278928828,,,,,,,,,,,,,,,,
10,0.112185185,0.902835975,0.348711005,,,,,,,,,,,,,,,,
11,0.203553872,0.850268309,0.401278672,,,,,,,,,,,,,,,,
12,0.195018519,0.855646978,0.395900002,,,,,,,,,,,,,,,,
13,0.079505698,0.9185371,0.33300988,,,,,,,,,,,,,,,,
14,0.136608466,0.985567706,0.265979274,,,,,,,,,,,,,,,,
Entropy(H):,0.62577349,Lambda:,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 7,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=1,R2=6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.481551852,1.085445554,0.30073399,,,,,,,,,,,,,,,,
2,0.173496296,1.084157056,0.302022488,,,,,,,,,,,,,,,,
3,0.195855556,0.951505773,0.434673771,,,,,,,,,,,,,,,,
4,0.401364815,0.817109497,0.569070047,,,,,,,,,,,,,,,,
5,0.263003704,0.912733162,0.473446382,,,,,,,,,,,,,,,,
6,0.043928395,1.036795263,0.349384281,,,,,,,,,,,,,,,,
7,0.249170899,1.091103997,0.295075547,,,,,,,,,,,,,,,,
8,0.341274074,1.097858355,0.288321189,,,,,,,,,,,,,,,,
9,0.182292593,1.084835823,0.30134372,,,,,,,,,,,,,,,,
10,0.102941975,1.017233005,0.368946539,,,,,,,,,,,,,,,,
11,0.257539057,0.910044551,0.476134993,,,,,,,,,,,,,,,,
12,0.271735185,0.907207706,0.478971838,,,,,,,,,,,,,,,,
13,0.113875499,0.991770662,0.394408881,,,,,,,,,,,,,,,,
14,0.148042152,1.06048358,0.325695964,,,,,,,,,,,,,,,,
Entropy(H):,0.693089772,Lambda:,7.25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 8,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=1,R2=9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.663314815,1.029660311,0.356615531,,,,,,,,,,,,,,,,
2,0.454148148,1.089808798,0.296467045,,,,,,,,,,,,,,,,
3,0.207203704,1.089545201,0.296730641,,,,,,,,,,,,,,,,
4,0.049601852,1.020889868,0.365385975,,,,,,,,,,,,,,,,
5,0.276462963,0.905098051,0.481177792,,,,,,,,,,,,,,,,
6,0.382703704,0.831636363,0.554639479,,,,,,,,,,,,,,,,
7,0.340653439,0.861777897,0.524497946,,,,,,,,,,,,,,,,
8,0.19925463,0.950188814,0.436087029,,,,,,,,,,,,,,,,
9,0.042608642,1.030445562,0.355830281,,,,,,,,,,,,,,,,
10,0.150259259,1.08008039,0.306195453,,,,,,,,,,,,,,,,
11,0.26336532,1.095887795,0.290388047,,,,,,,,,,,,,,,,
12,0.284101852,1.096900608,0.289375235,,,,,,,,,,,,,,,,
13,0.229511396,1.091676138,0.294599704,,,,,,,,,,,,,,,,
14,0.117838624,1.07192961,0.314346233,,,,,,,,,,,,,,,,
Entropy(H):,0.693137921,Lambda:,6.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 9,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=1,R2=13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.733325926,0.99339775,0.392889203,,,,,,,,,,,,,,,,
2,0.589992593,1.058299334,0.327987619,,,,,,,,,,,,,,,,
3,0.37777037,1.097482817,0.288804137,,,,,,,,,,,,,,,,
4,0.19277037,1.087827693,0.298459261,,,,,,,,,,,,,,,,
5,0.013340741,1.035003391,0.351283563,,,,,,,,,,,,,,,,
6,0.206766667,0.946524467,0.439762487,,,,,,,,,,,,,,,,
7,0.409531217,0.811406304,0.57488065,,,,,,,,,,,,,,,,
8,0.45660463,0.773259156,0.613027797,,,,,,,,,,,,,,,,
9,0.36297037,0.846516296,0.539770658,,,,,,,,,,,,,,,,
10,0.245562963,0.924148262,0.462138692,,,,,,,,,,,,,,,,
11,0.115158923,0.993159259,0.393127694,,,,,,,,,,,,,,,,
12,0.029344444,1.049455286,0.336831668,,,,,,,,,,,,,,,,
13,0.179479772,1.085724562,0.300562392,,,,,,,,,,,,,,,,
14,0.340508466,1.09857764,0.287709314,,,,,,,,,,,,,,,,
Entropy(H):,0.693143477,Lambda:,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 10,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=4,R2=5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.017561728,1.036499921,0.349131383,,,,,,,,,,,,,,,,
2,0.158781481,1.08151396,0.304117344,,,,,,,,,,,,,,,,
3,0.017376543,1.040342385,0.345288919,,,,,,,,,,,,,,,,
4,0.387468519,0.827740424,0.55789088,,,,,,,,,,,,,,,,
5,0.017685185,1.038944381,0.346686924,,,,,,,,,,,,,,,,
6,0.031003704,1.049240478,0.336390827,,,,,,,,,,,,,,,,
7,0.025295414,1.038795443,0.346835861,,,,,,,,,,,,,,,,
8,0.273642593,1.09591739,0.289713915,,,,,,,,,,,,,,,,
9,0.026018519,1.040696736,0.344934568,,,,,,,,,,,,,,,,
10,0.076218519,1.009498614,0.37613269,,,,,,,,,,,,,,,,
11,0.02958193,1.036290298,0.349341007,,,,,,,,,,,,,,,,
12,0.173024074,0.963793691,0.421837614,,,,,,,,,,,,,,,,
13,0.028933998,1.036249271,0.349382033,,,,,,,,,,,,,,,,
14,0.084733862,1.064600828,0.321030476,,,,,,,,,,,,,,,,
Entropy(H):,0.692815652,Lambda:,3.25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 11,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=-5,R1=4,R2=7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.377828395,0.792750918,0.238685424,,,,,,,,,,,,,,,,
2,0.195883951,0.829931289,0.201505053,,,,,,,,,,,,,,,,
3,0.024309877,0.808076074,0.223360267,,,,,,,,,,,,,,,,
4,0.117310494,0.74114562,0.290290722,,,,,,,,,,,,,,,,
5,0.172060494,0.691340838,0.340095504,,,,,,,,,,,,,,,,
6,0.146245679,0.718331796,0.313104546,,,,,,,,,,,,,,,,
7,0.072885891,0.768477642,0.2629587,,,,,,,,,,,,,,,,
8,0.010876235,0.802632751,0.228803591,,,,,,,,,,,,,,,,
9,0.086285185,0.822318919,0.209117423,,,,,,,,,,,,,,,,
10,0.137661728,0.828422008,0.203014333,,,,,,,,,,,,,,,,
11,0.118686981,0.826774065,0.204662277,,,,,,,,,,,,,,,,
12,0.056439506,0.816465047,0.214971295,,,,,,,,,,,,,,,,
13,0.017409022,0.794603705,0.236832637,,,,,,,,,,,,,,,,
14,0.077965256,0.764996444,0.266439898,,,,,,,,,,,,,,,,
Entropy(H):,0.515718171,Lambda:,9.25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 12,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=-3,R1=4,R2=7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.538330864,0.987085092,0.307062819,,,,,,,,,,,,,,,,
2,0.299441975,1.029020921,0.26512699,,,,,,,,,,,,,,,,
3,0.020553086,0.985824947,0.308322964,,,,,,,,,,,,,,,,
