Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
47000,0.007790327,
47100,0.007786521,
47200,0.007782746,
47300,0.007779003,
47400,0.007775291,
47500,0.007771608,
47600,0.007767953,
47700,0.007764326,
47800,0.007760726,
47900,0.00775715,
48000,0.007753599,
48100,0.007750071,
48200,0.007746565,
48300,0.007743079,
48400,0.007739612,
48500,0.007736164,
48600,0.007732732,
48700,0.007729316,
48800,0.007725913,
48900,0.007722524,
49000,0.007719145,
49100,0.007715776,
49200,0.007712416,
49300,0.007709062,
49400,0.007705714,
49500,0.00770237,
49600,0.007699029,
49700,0.007695689,
49800,0.007692348,
49900,0.007689005,
50000,0.007685659,
50100,0.007682308,
50200,0.007678951,
50300,0.007675586,
50400,0.007672211,
50500,0.007668826,
50600,0.007665429,
50700,0.007662018,
50800,0.007658592,
50900,0.007655149,
51000,0.007651689,
51100,0.00764821,
51200,0.00764471,
51300,0.007641189,
51400,0.007637644,
51500,0.007634076,
51600,0.007630482,
51700,0.007626862,
51800,0.007623214,
51900,0.007619538,
52000,0.007615832,
52100,0.007612095,
52200,0.007608326,
52300,0.007604526,
52400,0.007600691,
52500,0.007596823,
52600,0.00759292,
52700,0.007588981,
52800,0.007585006,
52900,0.007580994,
53000,0.007576945,
53100,0.007572858,
53200,0.007568732,
53300,0.007564568,
53400,0.007560364,
53500,0.007556121,
53600,0.007551838,
53700,0.007547516,
53800,0.007543153,
53900,0.00753875,
54000,0.007534307,
54100,0.007529824,
54200,0.0075253,
54300,0.007520736,
54400,0.007516132,
54500,0.007511488,
54600,0.007506804,
54700,0.00750208,
54800,0.007497317,
54900,0.007492516,
55000,0.007487675,
55100,0.007482796,
55200,0.007477879,
55300,0.007472925,
55400,0.007467934,
55500,0.007462906,
55600,0.007457842,
55700,0.007452742,
55800,0.007447607,
55900,0.007442438,
56000,0.007437236,
56100,0.007431999,
56200,0.007426731,
56300,0.00742143,
56400,0.007416098,
56500,0.007410736,
56600,0.007405343,
56700,0.007399922,
56800,0.007394472,
56900,0.007388994,
57000,0.007383489,
57100,0.007377957,
57200,0.007372401,
57300,0.007366819,
57400,0.007361213,
57500,0.007355584,
57600,0.007349932,
57700,0.007344258,
57800,0.007338564,
57900,0.007332848,
58000,0.007327114,
58100,0.00732136,
58200,0.007315588,
58300,0.007309799,
58400,0.007303993,
58500,0.007298171,
58600,0.007292334,
58700,0.007286482,
58800,0.007280616,
58900,0.007274737,
59000,0.007268846,
59100,0.007262943,
59200,0.007257028,
59300,0.007251103,
59400,0.007245169,
59500,0.007239225,
59600,0.007233272,
59700,0.007227311,
59800,0.007221343,
59900,0.007215368,
60000,0.007209387,
60100,0.0072034,
60200,0.007197409,
60300,0.007191412,
60400,0.007185412,
60500,0.007179407,
60600,0.0071734,
60700,0.007167391,
60800,0.007161379,
60900,0.007155366,
61000,0.007149351,
61100,0.007143336,
61200,0.007137321,
61300,0.007131306,
61400,0.007125291,
61500,0.007119278,
61600,0.007113266,
61700,0.007107255,
61800,0.007101247,
61900,0.007095241,
62000,0.007089239,
62100,0.007083239,
62200,0.007077243,
62300,0.007071251,
62400,0.007065263,
62500,0.007059279,
62600,0.0070533,
62700,0.007047327,
62800,0.007041358,
62900,0.007035396,
63000,0.007029439,
63100,0.007023488,
63200,0.007017544,
63300,0.007011606,
63400,0.007005675,
63500,0.006999751,
63600,0.006993834,
63700,0.006987925,
63800,0.006982024,
63900,0.00697613,
64000,0.006970244,
64100,0.006964367,
64200,0.006958498,
64300,0.006952638,
64400,0.006946787,
64500,0.006940944,
64600,0.006935111,
64700,0.006929287,
64800,0.006923472,
64900,0.006917667,
65000,0.006911872,
65100,0.006906086,
65200,0.00690031,
65300,0.006894545,
65400,0.006888789,
65500,0.006883044,
65600,0.00687731,
65700,0.006871586,
65800,0.006865872,
65900,0.00686017,
66000,0.006854478,
66100,0.006848798,
66200,0.006843128,
66300,0.00683747,
66400,0.006831822,
66500,0.006826187,
66600,0.006820562,
66700,0.00681495,
66800,0.006809349,
66900,0.006803759,
67000,0.006798182,
67100,0.006792616,
67200,0.006787062,
67300,0.00678152,
67400,0.006775991,
67500,0.006770473,
67600,0.006764968,
67700,0.006759475,
67800,0.006753995,
67900,0.006748527,
68000,0.006743071,
68100,0.006737628,
68200,0.006732198,
68300,0.00672678,
68400,0.006721375,
68500,0.006715983,
68600,0.006710604,
68700,0.006705238,
68800,0.006699884,
68900,0.006694544,
69000,0.006689217,
69100,0.006683903,
69200,0.006678602,
69300,0.006673315,
69400,0.006668041,
69500,0.00666278,
69600,0.006657532,
69700,0.006652298,
69800,0.006647078,
69900,0.006641871,
70000,0.006636677,
70100,0.006631498,
70200,0.006626332,
70300,0.006621179,
70400,0.006616041,
70500,0.006610916,
70600,0.006605805,
70700,0.006600708,
70800,0.006595625,
70900,0.006590556,
71000,0.006585501,
71100,0.006580461,
71200,0.006575434,
71300,0.006570421,
71400,0.006565423,
71500,0.006560438,
71600,0.006555468,
71700,0.006550513,
71800,0.006545571,
71900,0.006540644,
72000,0.006535732,
72100,0.006530834,
72200,0.00652595,
72300,0.006521081,
72400,0.006516226,
72500,0.006511386,
72600,0.006506561,
72700,0.00650175,
72800,0.006496954,
72900,0.006492172,
73000,0.006487406,
73100,0.006482653,
73200,0.006477916,
73300,0.006473194,
73400,0.006468486,
73500,0.006463793,
73600,0.006459115,
73700,0.006454452,
73800,0.006449804,
73900,0.006445171,
74000,0.006440553,
74100,0.006435949,
74200,0.006431361,
74300,0.006426788,
74400,0.006422229,
74500,0.006417686,
74600,0.006413158,
74700,0.006408645,
74800,0.006404146,
74900,0.006399663,
75000,0.006395195,
75100,0.006390743,
75200,0.006386305,
75300,0.006381882,
75400,0.006377475,
75500,0.006373082,
75600,0.006368705,
75700,0.006364343,
75800,0.006359996,
75900,0.006355664,
76000,0.006351348,
76100,0.006347046,
76200,0.00634276,
76300,0.006338488,
76400,0.006334232,
76500,0.006329991,
76600,0.006325765,
76700,0.006321554,
76800,0.006317359,
76900,0.006313178,
77000,0.006309012,
77100,0.006304862,
77200,0.006300726,
77300,0.006296605,
77400,0.0062925,
77500,0.006288409,
77600,0.006284334,
77700,0.006280273,
77800,0.006276227,
77900,0.006272196,
78000,0.00626818,
78100,0.006264179,
78200,0.006260193,
78300,0.006256221,
78400,0.006252264,
78500,0.006248322,
78600,0.006244394,
78700,0.006240482,
78800,0.006236583,
78900,0.0062327,
79000,0.00622883,
79100,0.006224976,
79200,0.006221136,
79300,0.00621731,
79400,0.006213499,
79500,0.006209701,
79600,0.006205919,
79700,0.00620215,
79800,0.006198396,
79900,0.006194656,
80000,0.006190929,
80100,0.006187217,
80200,0.006183519,
80300,0.006179835,
80400,0.006176165,
80500,0.006172508,
80600,0.006168866,
80700,0.006165237,
