Run # 0,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
16,0.642486555,0.990939105,15,,
17,0.778984845,0.994159845,13,,
18,0.832616642,0.994197792,14,,
19,0.631872131,0.992946227,10,,
20,0.772662673,0.981295646,12,,
21,0.608648828,0.994178818,11,,
22,0.664218827,0.995954269,12,,
23,0.725982549,0.994178818,12,,
24,0.761510052,0.994178818,11,,
25,0.759232177,0.986417585,13,,
26,0.718035937,0.985108975,11,,
27,0.648332952,0.969703305,12,,
28,0.691127793,0.972089954,11,,
29,0.746689536,0.972089954,13,,
30,0.690790918,0.97149512,11,,
31,0.636611262,0.96171832,10,,
32,0.70083053,0.972443293,11,,
33,0.614499778,0.957500411,12,,
34,0.651764776,0.995887757,11,,
35,0.608676691,0.958803515,11,,
36,0.691904458,0.965915968,12,,
37,0.695326122,0.982627859,12,,
38,0.70504832,0.992605137,11,,
39,0.693971363,0.992605137,14,,
Run # 7,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.121931055,0.901674214,13,,
1,0.615012318,0.901708969,11,,
2,0.637153926,0.97576846,11,,
3,0.547384722,0.93036674,14,,
4,0.644442847,0.930205888,15,,
5,0.681066054,0.957729715,13,,
6,0.751510817,0.990154293,14,,
7,0.679424796,0.995973273,14,,
8,0.647668068,0.976683039,16,,
9,0.650364612,0.968108961,13,,
10,0.613487088,0.991024239,15,,
11,0.683786657,0.998199017,10,,
12,0.730737957,0.999418411,10,,
13,0.737555232,0.999408879,14,,
14,0.625049252,0.997294864,14,,
15,0.740987984,0.99725681,14,,
16,0.675968479,0.999809282,16,,
17,0.581959396,0.991440543,13,,
18,0.588781762,0.994700714,13,,
19,0.670220994,0.999418411,13,,
20,0.641865127,0.974202403,12,,
21,0.715259642,0.993097856,12,,
22,0.604950467,0.993581314,15,,
23,0.768909634,0.994691223,15,,
24,0.678331385,0.994691223,14,,
25,0.67345845,0.994691223,12,,
26,0.5997475,0.999570929,10,,
27,0.636957409,0.994453969,11,,
28,0.67109131,0.974910577,10,,
29,0.683849957,0.975507293,12,,
30,0.659692951,0.999227792,13,,
31,0.672380018,0.975544599,11,,
32,0.613594219,0.975544599,12,,
33,0.681140262,0.996496016,12,,
34,0.781122014,0.996496016,8,,
35,0.708957284,0.997399517,10,,
36,0.648691845,0.997095098,10,,
37,0.599407152,0.999208732,10,,
38,0.704331117,0.994359082,10,,
39,0.756499762,0.994349593,12,,
Run # 8,,,,,
